,C10,SVEC,RAW
326,0.3770493,0.12993096,0.4930197
327,0.30861935,0.091175094,0.6002056
328,0.30232576,0.28527042,0.41240382
329,0.40515286,0.44390976,0.15093735
330,0.42905053,0.40084162,0.17010783
331,0.35006857,0.2560932,0.39383817
332,0.43505132,0.44521627,0.11973239
333,0.31050456,0.40969273,0.27980265
334,0.43467933,0.40888786,0.15643282
335,0.3892975,0.40980178,0.20090076
336,0.38249555,0.39013225,0.22737215
337,0.2248877,0.10876506,0.66634727
338,0.45071366,0.34389287,0.20539346
339,0.3492001,0.5113843,0.13941556
340,0.4265938,0.3678833,0.20552285
341,0.35810024,0.3589874,0.2829124
342,0.3945837,0.33691138,0.26850486
343,0.41168916,0.37734467,0.21096623
344,0.30363494,0.5839088,0.112456284
345,0.3833269,0.22726563,0.3894075
346,0.21356231,0.28636694,0.50007075
347,0.22020487,0.36240783,0.41738728
348,0.3228378,0.21986209,0.45730007
349,0.30389747,0.29597545,0.4001271
350,0.2830094,0.33795077,0.37903988
351,0.38085628,0.16493045,0.45421323
352,0.37872836,0.27582335,0.34544832
353,0.3474197,0.3823531,0.27022722
354,0.43689898,0.22914326,0.33395773
355,0.35704267,0.4034557,0.23950166
356,0.38561454,0.3375586,0.27682686
357,0.42068025,0.41287878,0.166441
358,0.38404575,0.2114583,0.40449595
359,0.39613897,0.35488102,0.24898008
360,0.36664355,0.19697292,0.43638352
361,0.31095555,0.18774468,0.5012998
362,0.18342084,0.41916788,0.3974113
363,0.38552982,0.4743709,0.14009935
364,0.22143263,0.21056652,0.56800085
365,0.30816793,0.3447743,0.34705782
366,0.26925245,0.52348983,0.2072577
367,0.38701457,0.18446977,0.42851567
368,0.36310244,0.39404222,0.24285533
369,0.32478416,0.40348512,0.2717307
370,0.3053226,0.16862743,0.52605
371,0.29669347,0.38809663,0.31520987
372,0.31167927,0.5483151,0.14000565
373,0.38033235,0.22116037,0.3985073
374,0.27426016,0.34466296,0.38107684
375,0.38893113,0.29516602,0.31590283
376,0.3083305,0.12450959,0.56715995
